"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
86,"Older",72,1.66666666666667,6.5,2.33333333333333,3.5,5.5,2.83333333333333,2,5.83333333333333,1.83333333333333
87,"Middle Age",58,1,6.83333333333333,2.33333333333333,3.83333333333333,6.66666666666667,3.83333333333333,2.33333333333333,6.5,3
88,"Middle Age",57,4,4,3.66666666666667,4,4,4,4,4,4
89,"Younger",23,6,6.16666666666667,4,5,5.83333333333333,5.16666666666667,5,5.66666666666667,4.83333333333333
90,"Older",70,3.5,4.33333333333333,3.16666666666667,4,4.33333333333333,3.33333333333333,2.83333333333333,4.16666666666667,3.83333333333333
91,"Middle Age",56,2,6.66666666666667,2.66666666666667,3.16666666666667,5.83333333333333,2.5,2.33333333333333,6.16666666666667,2.66666666666667
92,"Middle Age",48,1,6.66666666666667,1.5,2.5,4,3.16666666666667,1.33333333333333,6.83333333333333,1.33333333333333
93,"Younger",30,1.83333333333333,6,2.66666666666667,3.33333333333333,5.33333333333333,3.66666666666667,3.33333333333333,5.83333333333333,3.33333333333333
94,"Middle Age",44,4,4,4,4,4,4,4,4,4
95,"Younger",27,4.5,4.16666666666667,4.16666666666667,4.83333333333333,4,4,4.66666666666667,4,4.83333333333333
96,"Younger",26,4,4,4,4,4,4,4,4,4
97,"Younger",36,1.83333333333333,1.83333333333333,2,2.16666666666667,1.66666666666667,2,1.5,1.83333333333333,1.66666666666667
98,"Middle Age",48,1.83333333333333,6.16666666666667,3.16666666666667,3.33333333333333,5.66666666666667,3.16666666666667,1.83333333333333,5.83333333333333,2.66666666666667
99,"Middle Age",51,4.66666666666667,4.5,4.16666666666667,4.33333333333333,5.16666666666667,4.5,3.83333333333333,4.5,4.66666666666667
100,"Middle Age",44,1.66666666666667,6.33333333333333,1.83333333333333,3,5.16666666666667,3.16666666666667,2.16666666666667,5.83333333333333,1.83333333333333
101,"Middle Age",45,1,7,1,2,7,1.5,1,7,1.16666666666667
102,"Middle Age",54,4,4,4,4,4,4,4,4,4
103,"Younger",24,4.5,4,4.5,4.33333333333333,3.66666666666667,4,4.66666666666667,2.5,4.5
104,"Younger",32,2.16666666666667,6.5,2.66666666666667,4.33333333333333,6.83333333333333,2.83333333333333,3,6.66666666666667,3.33333333333333
105,"Younger",24,4,4.66666666666667,3.83333333333333,3.66666666666667,4.66666666666667,4.16666666666667,4.5,4.16666666666667,4
