"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
50,"Middle Age","46",5.33333333333333,2,5.16666666666667,4.5,3.2,4.2,5.16666666666667,2.6,5
51,"Older","70",5.5,1,5.6,4.6,1,3.8,5.16666666666667,1,4.6
52,"Younger","30",5.16666666666667,2.83333333333333,5.33333333333333,5,2.6,4.8,5.33333333333333,2.75,5.33333333333333
53,"Younger","31",5.16666666666667,3.8,4.16666666666667,4.16666666666667,4.2,4,4.75,3.6,4
54,"Middle Age","47",7,1,7,7,1,7,7,1,7
55,"Middle Age","42",6.33333333333333,1.33333333333333,6.25,6,2.16666666666667,5.4,5.8,1,5.16666666666667
56,"Younger","21",5.6,2,5.6,5.33333333333333,3.4,4.83333333333333,6,2,5.5
57,"Younger","30",5.83333333333333,2.25,6,4.5,3.75,4.6,4.5,2.66666666666667,4.83333333333333
58,"Older","73",5.8,4.33333333333333,6.25,4.5,4.4,5.5,5.2,4.5,5
59,"Younger","24",3.8,5.5,5.33333333333333,5.83333333333333,3.8,4.6,4.4,3.25,4.6
60,"Younger","33",4.2,3.33333333333333,2.25,3.6,3.66666666666667,2,3,3.5,3
61,"Older","72",6.25,2.66666666666667,6,5.2,3.2,6,5.8,2.33333333333333,6.2
62,"Younger","29",4,3.33333333333333,5.16666666666667,4.83333333333333,3.6,3.25,4.5,4.6,4.2
63,"Younger","38",4,NA,NA,4,NA,NA,4,NA,NA
63,"Middle Age","38",NA,4,4,NA,4,4,NA,4,4
64,"Older","70",6.4,1,6,5.6,1.6,5.33333333333333,6.2,1.66666666666667,5.33333333333333
65,"Middle Age","40",4.5,1.6,4.8,5.33333333333333,1.75,4.5,5.5,2,5.66666666666667
66,"Younger","30",5.16666666666667,2,4.75,5.25,3.6,4.4,5.4,2.83333333333333,5
67,"Middle Age","40",4.5,2,4.6,5.2,2.6,4.5,5,2.5,5.33333333333333
68,"Middle Age","47",7,7,7,6.75,7,7,7,6.8,7
69,"Younger","29",2.6,2.5,2.33333333333333,1.75,1.75,2.6,2.66666666666667,2.16666666666667,2.4
70,"Younger","30",5,3.6,4.6,5,2.16666666666667,4.75,5,3.6,5
71,"Younger","36",4,3,4,4.25,2.5,3.2,3.5,2.2,4.33333333333333
72,"Younger","23",4,4,4.4,4.33333333333333,3.6,3.66666666666667,4.4,3.8,4
73,"Middle Age","42",5.66666666666667,1.83333333333333,5.25,5,3.5,4.66666666666667,5.33333333333333,2.16666666666667,4
74,"Younger","24",3.66666666666667,4.25,6,5.2,4.4,4.6,4.16666666666667,4.33333333333333,4
75,"Younger","23",4.75,3.25,4.2,4.2,5.25,5.5,5.33333333333333,4.16666666666667,4.83333333333333
76,"Younger","28",5.2,4.5,6.5,6,5,6.2,6.66666666666667,3.8,5.8
77,"Middle Age","54",5.4,2.2,5.66666666666667,5,3,5,5.33333333333333,2.4,5.4
78,"Older","65",6.5,1.16666666666667,6.16666666666667,6.6,2.25,5.66666666666667,6.75,1.8,5.5
79,"Middle Age","41",5.5,2,4,5,2.8,4,4.6,2.6,4
80,"Younger","23",5.6,2.8,5.25,4.33333333333333,3.8,4.5,5.5,2.83333333333333,4.66666666666667
81,"Middle Age","53",5.8,2,5.83333333333333,4.4,2.8,4.5,5,3.4,5.66666666666667
82,"Younger","27",3.75,3,3.5,3.4,3.2,3.4,4,3.16666666666667,3.83333333333333
83,"Middle Age","57",6.6,1.2,6.75,5.5,3,5.5,5.4,1.8,6.5
84,"Younger","21",3.5,3.4,3.16666666666667,3.33333333333333,4,3.75,4.75,4.4,5
85,"Middle Age","55",5.8,1.2,5.5,4.75,2.5,4.8,5.4,1.8,5
86,"Middle Age","54",5,4.4,4.83333333333333,4.5,4.66666666666667,4,5,4,4
